country,year,mean_age_of_women_at_first_marriage
Albania,1995,23
Albania,2000,NA
Albania,2001,23.1
Albania,2002,23.1
Albania,2003,23.3
Albania,2004,23.8
Albania,2005,23
Albania,2006,23.1
Albania,2007,22.4
Albania,2008,23.1
Albania,2009,23.2
Albania,2010,23.4
Albania,2011,23.6
Albania,2012,23.5
Albania,2013,24.9
Albania,2014,24
Albania,2015,NA
Armenia,1995,21.9
Armenia,2000,23.1
Armenia,2001,22.8
Armenia,2002,22.7
Armenia,2003,22.8
Armenia,2004,23.5
Armenia,2005,23.9
Armenia,2006,24.1
Armenia,2007,24.4
Armenia,2008,24.5
Armenia,2009,24.4
Armenia,2010,24.6
Armenia,2011,25
Armenia,2012,25.3
Armenia,2013,25.8
Armenia,2014,26.3
Armenia,2015,NA
Austria,1995,26
Austria,2000,27.3
Austria,2001,27.3
Austria,2002,27.5
Austria,2003,27.7
Austria,2004,27.9
Austria,2005,28.1
Austria,2006,28.6
Austria,2007,28.8
Austria,2008,28.9
Austria,2009,29.1
Austria,2010,29.3
Austria,2011,29.5
Austria,2012,29.8
Austria,2013,29.8
Austria,2014,30
Austria,2015,30.3
Azerbaijan,1995,22.9
Azerbaijan,2000,23.1
Azerbaijan,2001,23.1
Azerbaijan,2002,23.4
Azerbaijan,2003,23.3
Azerbaijan,2004,23.3
Azerbaijan,2005,23.4
Azerbaijan,2006,23.3
Azerbaijan,2007,23.3
Azerbaijan,2008,23.1
Azerbaijan,2009,23.1
Azerbaijan,2010,23.1
Azerbaijan,2011,23.4
Azerbaijan,2012,23.7
Azerbaijan,2013,23.7
Azerbaijan,2014,23.7
Azerbaijan,2015,NA
Belarus,1995,21.6
Belarus,2000,22.8
Belarus,2001,22.9
Belarus,2002,23
Belarus,2003,23.2
Belarus,2004,23.4
Belarus,2005,23.5
Belarus,2006,23.6
Belarus,2007,23.8
Belarus,2008,23.9
Belarus,2009,24.2
Belarus,2010,24.4
Belarus,2011,24.5
Belarus,2012,24.6
Belarus,2013,25
Belarus,2014,25.3
Belarus,2015,NA
Belgium,1995,25.1
Belgium,2000,26
Belgium,2001,26.2
Belgium,2002,26.5
Belgium,2003,27
Belgium,2004,27.3
Belgium,2005,27.5
Belgium,2006,27.8
Belgium,2007,28
Belgium,2008,28.3
Belgium,2009,28.7
Belgium,2010,28.7
Belgium,2011,29
Belgium,2012,29.2
Belgium,2013,29.4
Belgium,2014,29.8
Belgium,2015,30
Bosnia and Herzegovina,1995,NA
Bosnia and Herzegovina,2000,24.3
Bosnia and Herzegovina,2001,24.2
Bosnia and Herzegovina,2002,24.3
Bosnia and Herzegovina,2003,24.4
Bosnia and Herzegovina,2004,24.5
Bosnia and Herzegovina,2005,24.6
Bosnia and Herzegovina,2006,24.9
Bosnia and Herzegovina,2007,24.9
Bosnia and Herzegovina,2008,24.9
Bosnia and Herzegovina,2009,24.8
Bosnia and Herzegovina,2010,25.7
Bosnia and Herzegovina,2011,25.9
Bosnia and Herzegovina,2012,26.1
Bosnia and Herzegovina,2013,26.4
Bosnia and Herzegovina,2014,26.4
Bosnia and Herzegovina,2015,NA
Bulgaria,1995,22.6
Bulgaria,2000,24.7
Bulgaria,2001,24.8
Bulgaria,2002,24.8
Bulgaria,2003,25.2
Bulgaria,2004,25.5
Bulgaria,2005,25.8
Bulgaria,2006,25.9
Bulgaria,2007,25.9
Bulgaria,2008,26.1
Bulgaria,2009,26.4
Bulgaria,2010,26.9
Bulgaria,2011,26.9
Bulgaria,2012,27
Bulgaria,2013,27.3
Bulgaria,2014,27.5
Bulgaria,2015,NA
Croatia,1995,24.5
Croatia,2000,25.3
Croatia,2001,25.4
Croatia,2002,25.6
Croatia,2003,25.8
Croatia,2004,26.1
Croatia,2005,26.3
Croatia,2006,26.5
Croatia,2007,26.7
Croatia,2008,26.8
Croatia,2009,27.1
Croatia,2010,27.3
Croatia,2011,27.6
Croatia,2012,28
Croatia,2013,28
Croatia,2014,28
Croatia,2015,NA
Cyprus,1995,25.2
Cyprus,2000,26.1
Cyprus,2001,26.5
Cyprus,2002,27.1
Cyprus,2003,27.3
Cyprus,2004,26.7
Cyprus,2005,26.7
Cyprus,2006,28.2
Cyprus,2007,27.3
Cyprus,2008,27.2
Cyprus,2009,27.4
Cyprus,2010,28
Cyprus,2011,28.1
Cyprus,2012,28.6
Cyprus,2013,28.7
Cyprus,2014,29
Cyprus,2015,NA
Czechia,1995,24.6
Czechia,2000,26.5
Czechia,2001,26.9
Czechia,2002,27.3
Czechia,2003,27.7
Czechia,2004,28
Czechia,2005,28.1
Czechia,2006,28.4
Czechia,2007,28.6
Czechia,2008,28.8
Czechia,2009,29.2
Czechia,2010,29.4
Czechia,2011,29.6
Czechia,2012,29.6
Czechia,2013,29.8
Czechia,2014,29.8
Czechia,2015,29.8
Denmark,1995,29.1
Denmark,2000,30.1
Denmark,2001,30.3
Denmark,2002,30.8
Denmark,2003,31.2
Denmark,2004,31.5
Denmark,2005,31.5
Denmark,2006,31.6
Denmark,2007,31.9
Denmark,2008,32
Denmark,2009,31.6
Denmark,2010,31.7
Denmark,2011,31.9
Denmark,2012,32.2
Denmark,2013,32.2
Denmark,2014,32.2
Denmark,2015,32
Estonia,1995,23.5
Estonia,2000,25
Estonia,2001,25.2
Estonia,2002,25.5
Estonia,2003,25.8
Estonia,2004,26.1
Estonia,2005,26.3
Estonia,2006,26.5
Estonia,2007,27
Estonia,2008,27.2
Estonia,2009,27.6
Estonia,2010,27.9
Estonia,2011,28.2
Estonia,2012,28.6
Estonia,2013,28.4
Estonia,2014,28.7
Estonia,2015,NA
Finland,1995,27.6
Finland,2000,28.6
Finland,2001,28.7
Finland,2002,29.1
Finland,2003,29.2
Finland,2004,29.7
Finland,2005,29.7
Finland,2006,29.7
Finland,2007,29.9
Finland,2008,30.2
Finland,2009,30.2
Finland,2010,30.3
Finland,2011,30.6
Finland,2012,30.9
Finland,2013,30.6
Finland,2014,30.7
Finland,2015,31.2
France,1995,26.9
France,2000,28
France,2001,28.1
France,2002,28.3
France,2003,28.5
France,2004,28.8
France,2005,29.1
France,2006,29.2
France,2007,29.5
France,2008,29.6
France,2009,29.8
France,2010,30
France,2011,NA
France,2012,NA
France,2013,NA
France,2014,NA
France,2015,NA
Georgia,1995,24.1
Georgia,2000,24.7
Georgia,2001,25
Georgia,2002,25.2
Georgia,2003,25.1
Georgia,2004,25.6
Georgia,2005,25.6
Georgia,2006,25.4
Georgia,2007,25.6
Georgia,2008,25.1
Georgia,2009,25.3
Georgia,2010,25.8
Georgia,2011,26
Georgia,2012,26.5
Georgia,2013,26.9
Georgia,2014,26.6
Georgia,2015,NA
Germany,1995,27.3
Germany,2000,28.4
Germany,2001,28.8
Germany,2002,28.8
Germany,2003,29
Germany,2004,29.4
Germany,2005,29.6
Germany,2006,29.6
Germany,2007,29.8
Germany,2008,30
Germany,2009,30.2
Germany,2010,30.3
Germany,2011,30.5
Germany,2012,30.7
Germany,2013,30.9
Germany,2014,31
Germany,2015,NA
Greece,1995,25.3
Greece,2000,27.8
Greece,2001,27.8
Greece,2002,28.1
Greece,2003,28.3
Greece,2004,28.6
Greece,2005,28.7
Greece,2006,29
Greece,2007,29.1
Greece,2008,29.3
Greece,2009,29.3
Greece,2010,29.6
Greece,2011,29.7
Greece,2012,29.9
Greece,2013,30.1
Greece,2014,30.3
Greece,2015,NA
Hungary,1995,22.7
Hungary,2000,24.7
Hungary,2001,25.2
Hungary,2002,25.7
Hungary,2003,26.1
Hungary,2004,26.5
Hungary,2005,26.9
Hungary,2006,27.3
Hungary,2007,27.5
Hungary,2008,27.9
Hungary,2009,28.3
Hungary,2010,28.7
Hungary,2011,29.1
Hungary,2012,29.2
Hungary,2013,29.5
Hungary,2014,29.7
Hungary,2015,NA
Iceland,1995,28.6
Iceland,2000,30.3
Iceland,2001,29.9
Iceland,2002,30.5
Iceland,2003,30.8
Iceland,2004,31.2
Iceland,2005,31.2
Iceland,2006,31.6
Iceland,2007,31.7
Iceland,2008,31.9
Iceland,2009,31.5
Iceland,2010,32
Iceland,2011,32.7
Iceland,2012,NA
Iceland,2013,NA
Iceland,2014,NA
Iceland,2015,NA
Ireland,1995,28.1
Ireland,2000,NA
Ireland,2001,NA
Ireland,2002,30.3
Ireland,2003,NA
Ireland,2004,NA
Ireland,2005,30.2
Ireland,2006,30.4
Ireland,2007,30.5
Ireland,2008,30.9
Ireland,2009,30.9
Ireland,2010,31.2
Ireland,2011,31.6
Ireland,2012,31.7
Ireland,2013,32
Ireland,2014,32.1
Ireland,2015,32.3
Italy,1995,26.9
Italy,2000,28.1
Italy,2001,28.5
Italy,2002,28.9
Italy,2003,29.1
Italy,2004,28.8
Italy,2005,29.1
Italy,2006,29.4
Italy,2007,29.6
Italy,2008,29.8
Italy,2009,30
Italy,2010,30.3
Italy,2011,30.6
Italy,2012,30.8
Italy,2013,31.1
Italy,2014,31.3
Italy,2015,NA
Kazakhstan,1995,21
Kazakhstan,2000,23.3
Kazakhstan,2001,23.5
Kazakhstan,2002,23.6
Kazakhstan,2003,23.7
Kazakhstan,2004,24.1
Kazakhstan,2005,24.2
Kazakhstan,2006,24.2
Kazakhstan,2007,24.2
Kazakhstan,2008,24.1
Kazakhstan,2009,24.2
Kazakhstan,2010,24.3
Kazakhstan,2011,24.3
Kazakhstan,2012,24.4
Kazakhstan,2013,24.5
Kazakhstan,2014,24.6
Kazakhstan,2015,NA
Kyrgyzstan,1995,21.4
Kyrgyzstan,2000,22.3
Kyrgyzstan,2001,22.5
Kyrgyzstan,2002,22.8
Kyrgyzstan,2003,23
Kyrgyzstan,2004,23
Kyrgyzstan,2005,23.2
Kyrgyzstan,2006,23.4
Kyrgyzstan,2007,23.4
Kyrgyzstan,2008,23.4
Kyrgyzstan,2009,23.4
Kyrgyzstan,2010,23.5
Kyrgyzstan,2011,23.4
Kyrgyzstan,2012,23.5
Kyrgyzstan,2013,23.4
Kyrgyzstan,2014,23.4
Kyrgyzstan,2015,NA
Latvia,1995,23.3
Latvia,2000,24.9
Latvia,2001,24.9
Latvia,2002,25.4
Latvia,2003,25.4
Latvia,2004,25.6
Latvia,2005,26
Latvia,2006,26.3
Latvia,2007,26.4
Latvia,2008,26.7
Latvia,2009,27.1
Latvia,2010,27.4
Latvia,2011,27.7
Latvia,2012,28
Latvia,2013,28.5
Latvia,2014,28.9
Latvia,2015,NA
Lithuania,1995,22.4
Lithuania,2000,23.6
Lithuania,2001,24
Lithuania,2002,24.2
Lithuania,2003,24.5
Lithuania,2004,24.8
Lithuania,2005,24.9
Lithuania,2006,25.1
Lithuania,2007,25.5
Lithuania,2008,25.7
Lithuania,2009,26.2
Lithuania,2010,26.4
Lithuania,2011,26.6
Lithuania,2012,26.7
Lithuania,2013,27
Lithuania,2014,27.2
Lithuania,2015,NA
Luxembourg,1995,26.6
Luxembourg,2000,27.6
Luxembourg,2001,28
Luxembourg,2002,28.5
Luxembourg,2003,28.7
Luxembourg,2004,28.9
Luxembourg,2005,28.8
Luxembourg,2006,29.4
Luxembourg,2007,29.6
Luxembourg,2008,29.9
Luxembourg,2009,30.1
Luxembourg,2010,30.3
Luxembourg,2011,30.4
Luxembourg,2012,29.8
Luxembourg,2013,30.2
Luxembourg,2014,30.8
Luxembourg,2015,31.1
Malta,1995,25.5
Malta,2000,25.6
Malta,2001,25.9
Malta,2002,26.4
Malta,2003,26.5
Malta,2004,26.8
Malta,2005,26.5
Malta,2006,26.9
Malta,2007,27.2
Malta,2008,27.5
Malta,2009,27.9
Malta,2010,27.8
Malta,2011,NA
Malta,2012,NA
Malta,2013,NA
Malta,2014,NA
Malta,2015,NA
Montenegro,1995,NA
Montenegro,2000,24.9
Montenegro,2001,25
Montenegro,2002,25.4
Montenegro,2003,25.2
Montenegro,2004,25.6
Montenegro,2005,26.2
Montenegro,2006,26.2
Montenegro,2007,26
Montenegro,2008,25.9
Montenegro,2009,26.2
Montenegro,2010,26.7
Montenegro,2011,27
Montenegro,2012,27.4
Montenegro,2013,28
Montenegro,2014,28
Montenegro,2015,NA
Netherlands,1995,27.4
Netherlands,2000,28.5
Netherlands,2001,28.9
Netherlands,2002,29
Netherlands,2003,29.2
Netherlands,2004,29.5
Netherlands,2005,29.7
Netherlands,2006,29.9
Netherlands,2007,30
Netherlands,2008,30.2
Netherlands,2009,30.3
Netherlands,2010,30.1
Netherlands,2011,30.4
Netherlands,2012,30.4
Netherlands,2013,30.5
Netherlands,2014,30.6
Netherlands,2015,30.9
North Macedonia,1995,22.9
North Macedonia,2000,23.5
North Macedonia,2001,23.7
North Macedonia,2002,23.8
North Macedonia,2003,24.1
North Macedonia,2004,24.3
North Macedonia,2005,24.5
North Macedonia,2006,24.5
North Macedonia,2007,24.7
North Macedonia,2008,24.7
North Macedonia,2009,25
North Macedonia,2010,25.2
North Macedonia,2011,25.4
North Macedonia,2012,25.6
North Macedonia,2013,25.8
North Macedonia,2014,26
North Macedonia,2015,NA
Norway,1995,29.1
Norway,2000,29.8
Norway,2001,30.1
Norway,2002,30
Norway,2003,30.3
Norway,2004,30.4
Norway,2005,30.8
Norway,2006,30.8
Norway,2007,30.9
Norway,2008,31.1
Norway,2009,30.9
Norway,2010,31
Norway,2011,31.3
Norway,2012,31.4
Norway,2013,31.6
Norway,2014,31.8
Norway,2015,31.9
Poland,1995,22.7
Poland,2000,23.2
Poland,2001,23.4
Poland,2002,23.7
Poland,2003,24
Poland,2004,24.3
Poland,2005,24.6
Poland,2006,24.8
Poland,2007,24.9
Poland,2008,25.1
Poland,2009,25.4
Poland,2010,25.6
Poland,2011,25.8
Poland,2012,25.9
Poland,2013,25.9
Poland,2014,26
Poland,2015,NA
Portugal,1995,24.9
Portugal,2000,25.7
Portugal,2001,26.1
Portugal,2002,26.4
Portugal,2003,26.8
Portugal,2004,27
Portugal,2005,27.3
Portugal,2006,27.5
Portugal,2007,27.8
Portugal,2008,28.1
Portugal,2009,28.6
Portugal,2010,29.2
Portugal,2011,29.5
Portugal,2012,29.9
Portugal,2013,30.2
Portugal,2014,30.6
Portugal,2015,31
Republic of Moldova,1995,22
Republic of Moldova,2000,21.7
Republic of Moldova,2001,21.7
Republic of Moldova,2002,22.1
Republic of Moldova,2003,22.1
Republic of Moldova,2004,22.2
Republic of Moldova,2005,22.5
Republic of Moldova,2006,22.6
Republic of Moldova,2007,22.8
Republic of Moldova,2008,23
Republic of Moldova,2009,23
Republic of Moldova,2010,23
Republic of Moldova,2011,23
Republic of Moldova,2012,23
Republic of Moldova,2013,24
Republic of Moldova,2014,24
Republic of Moldova,2015,NA
Romania,1995,22.8
Romania,2000,23.6
Romania,2001,23.9
Romania,2002,24.1
Romania,2003,24.4
Romania,2004,25
Romania,2005,25.2
Romania,2006,25.3
Romania,2007,26.3
Romania,2008,25.9
Romania,2009,25.8
Romania,2010,26
Romania,2011,26.2
Romania,2012,26.4
Romania,2013,26.7
Romania,2014,27.3
Romania,2015,NA
Russian Federation,1995,22.6
Russian Federation,2000,NA
Russian Federation,2001,NA
Russian Federation,2002,NA
Russian Federation,2003,NA
Russian Federation,2004,NA
Russian Federation,2005,NA
Russian Federation,2006,NA
Russian Federation,2007,NA
Russian Federation,2008,NA
Russian Federation,2009,NA
Russian Federation,2010,NA
Russian Federation,2011,NA
Russian Federation,2012,NA
Russian Federation,2013,NA
Russian Federation,2014,NA
Russian Federation,2015,NA
Serbia,1995,24
Serbia,2000,24.9
Serbia,2001,25.1
Serbia,2002,25.3
Serbia,2003,25.5
Serbia,2004,25.7
Serbia,2005,25.8
Serbia,2006,26
Serbia,2007,26.3
Serbia,2008,26.6
Serbia,2009,26.9
Serbia,2010,27.1
Serbia,2011,27.4
Serbia,2012,27.5
Serbia,2013,27.5
Serbia,2014,27.9
Serbia,2015,NA
Slovakia,1995,21.5
Slovakia,2000,23.6
Slovakia,2001,23.8
Slovakia,2002,24.2
Slovakia,2003,24.6
Slovakia,2004,25
Slovakia,2005,25.6
Slovakia,2006,25.8
Slovakia,2007,26.1
Slovakia,2008,26.3
Slovakia,2009,26.6
Slovakia,2010,26.9
Slovakia,2011,27.2
Slovakia,2012,27.4
Slovakia,2013,28.1
Slovakia,2014,28.4
Slovakia,2015,NA
Slovenia,1995,25.2
Slovenia,2000,26.7
Slovenia,2001,27.3
Slovenia,2002,27.4
Slovenia,2003,27.5
Slovenia,2004,27.8
Slovenia,2005,28.2
Slovenia,2006,28.1
Slovenia,2007,28.3
Slovenia,2008,28.4
Slovenia,2009,28.3
Slovenia,2010,28.6
Slovenia,2011,29.1
Slovenia,2012,29.2
Slovenia,2013,29.2
Slovenia,2014,29.4
Slovenia,2015,NA
Spain,1995,27
Spain,2000,28.1
Spain,2001,28.3
Spain,2002,28.5
Spain,2003,28.8
Spain,2004,29.1
Spain,2005,29.3
Spain,2006,29.6
Spain,2007,29.8
Spain,2008,30.1
Spain,2009,30.4
Spain,2010,30.9
Spain,2011,31.3
Spain,2012,31.5
Spain,2013,32
Spain,2014,32.1
Spain,2015,NA
Sweden,1995,29
Sweden,2000,30.6
Sweden,2001,30.6
Sweden,2002,30.9
Sweden,2003,31.3
Sweden,2004,31.7
Sweden,2005,32
Sweden,2006,31.9
Sweden,2007,32.2
Sweden,2008,32.5
Sweden,2009,32.5
Sweden,2010,32.9
Sweden,2011,33.1
Sweden,2012,33.4
Sweden,2013,33
Sweden,2014,33.2
Sweden,2015,33.5
Switzerland,1995,27.3
Switzerland,2000,27.9
Switzerland,2001,28
Switzerland,2002,28.1
Switzerland,2003,28.4
Switzerland,2004,28.6
Switzerland,2005,28.7
Switzerland,2006,28.7
Switzerland,2007,28.9
Switzerland,2008,29.1
Switzerland,2009,29.2
Switzerland,2010,29.4
Switzerland,2011,29.5
Switzerland,2012,29.5
Switzerland,2013,29.6
Switzerland,2014,29.6
Switzerland,2015,NA
Tajikistan,1995,21.1
Tajikistan,2000,21.6
Tajikistan,2001,21.8
Tajikistan,2002,22.1
Tajikistan,2003,22.1
Tajikistan,2004,22.7
Tajikistan,2005,23
Tajikistan,2006,23.1
Tajikistan,2007,22.6
Tajikistan,2008,22.4
Tajikistan,2009,22.4
Tajikistan,2010,22.5
Tajikistan,2011,23.1
Tajikistan,2012,22.7
Tajikistan,2013,22.3
Tajikistan,2014,22.3
Tajikistan,2015,NA
Turkey,1995,NA
Turkey,2000,NA
Turkey,2001,22.2
Turkey,2002,22.7
Turkey,2003,22.7
Turkey,2004,22.8
Turkey,2005,22.8
Turkey,2006,22.8
Turkey,2007,22.8
Turkey,2008,22.9
Turkey,2009,23
Turkey,2010,23.2
Turkey,2011,23.3
Turkey,2012,23.5
Turkey,2013,NA
Turkey,2014,NA
Turkey,2015,NA
Turkmenistan,1995,22.3
Turkmenistan,2000,22.8
Turkmenistan,2001,23
Turkmenistan,2002,22.9
Turkmenistan,2003,23.2
Turkmenistan,2004,23.4
Turkmenistan,2005,23.3
Turkmenistan,2006,23.3
Turkmenistan,2007,NA
Turkmenistan,2008,NA
Turkmenistan,2009,NA
Turkmenistan,2010,NA
Turkmenistan,2011,NA
Turkmenistan,2012,NA
Turkmenistan,2013,NA
Turkmenistan,2014,NA
Turkmenistan,2015,NA
Ukraine,1995,21.5
Ukraine,2000,22.4
Ukraine,2001,22.6
Ukraine,2002,22.7
Ukraine,2003,23
Ukraine,2004,23
Ukraine,2005,23.2
Ukraine,2006,23.3
Ukraine,2007,24.1
Ukraine,2008,24.3
Ukraine,2009,24.3
Ukraine,2010,24.5
Ukraine,2011,24.3
Ukraine,2012,24.5
Ukraine,2013,25
Ukraine,2014,24.9
Ukraine,2015,NA
United Kingdom,1995,26.8
United Kingdom,2000,28.2
United Kingdom,2001,28.4
United Kingdom,2002,28.7
United Kingdom,2003,28.9
United Kingdom,2004,29.1
United Kingdom,2005,29.5
United Kingdom,2006,29.7
United Kingdom,2007,29.8
United Kingdom,2008,29.9
United Kingdom,2009,29.9
United Kingdom,2010,30
United Kingdom,2011,30.2
United Kingdom,2012,30.3
United Kingdom,2013,30.6
United Kingdom,2014,NA
United Kingdom,2015,NA
Uzbekistan,1995,20.7
Uzbekistan,2000,21.4
Uzbekistan,2001,21.5
Uzbekistan,2002,21.6
Uzbekistan,2003,21.8
Uzbekistan,2004,22.1
Uzbekistan,2005,22.2
Uzbekistan,2006,22.4
Uzbekistan,2007,22.5
Uzbekistan,2008,22.6
Uzbekistan,2009,22.3
Uzbekistan,2010,22.4
Uzbekistan,2011,22.5
Uzbekistan,2012,22.4
Uzbekistan,2013,22.5
Uzbekistan,2014,22.5
Uzbekistan,2015,NA
