country,year,lifelong_learning
Austria,1995,7.7
Austria,1996,7.9
Austria,1997,7.8
Austria,1998,NA
Austria,1999,9.1
Austria,2000,8.3
Austria,2001,8.2
Austria,2002,7.5
Austria,2003,8.6
Austria,2004,11.6
Austria,2005,12.9
Austria,2006,13.2
Austria,2007,12.9
Austria,2008,13.3
Austria,2009,13.9
Austria,2010,13.8
Austria,2011,13.5
Austria,2012,14.2
Austria,2013,14.1
Austria,2014,14.3
Austria,2015,14.4
Austria,2016,14.9
Austria,2017,15.8
Austria,2018,15.1
Belgium,1995,2.8
Belgium,1996,2.9
Belgium,1997,3
Belgium,1998,4.4
Belgium,1999,6.9
Belgium,2000,6.2
Belgium,2001,6.4
Belgium,2002,6
Belgium,2003,7
Belgium,2004,8.6
Belgium,2005,8.3
Belgium,2006,7.8
Belgium,2007,7.4
Belgium,2008,7.1
Belgium,2009,7.1
Belgium,2010,7.4
Belgium,2011,7.4
Belgium,2012,6.9
Belgium,2013,6.9
Belgium,2014,7.4
Belgium,2015,6.9
Belgium,2016,7
Belgium,2017,8.5
Belgium,2018,8.5
Bulgaria,1995,NA
Bulgaria,1996,NA
Bulgaria,1997,NA
Bulgaria,1998,NA
Bulgaria,1999,NA
Bulgaria,2000,NA
Bulgaria,2001,1.4
Bulgaria,2002,1.2
Bulgaria,2003,1.3
Bulgaria,2004,1.3
Bulgaria,2005,1.3
Bulgaria,2006,1.6
Bulgaria,2007,1.6
Bulgaria,2008,1.6
Bulgaria,2009,1.6
Bulgaria,2010,1.6
Bulgaria,2011,1.6
Bulgaria,2012,1.7
Bulgaria,2013,2
Bulgaria,2014,2.1
Bulgaria,2015,2
Bulgaria,2016,2.2
Bulgaria,2017,2.3
Bulgaria,2018,2.5
Switzerland,1995,NA
Switzerland,1996,29.5
Switzerland,1997,29.8
Switzerland,1998,33.3
Switzerland,1999,31.1
Switzerland,2000,34.7
Switzerland,2001,37.3
Switzerland,2002,35.8
Switzerland,2003,24.7
Switzerland,2004,28.6
Switzerland,2005,27
Switzerland,2006,22.5
Switzerland,2007,26.8
Switzerland,2008,27.9
Switzerland,2009,23.9
Switzerland,2010,29.7
Switzerland,2011,28.9
Switzerland,2012,29.1
Switzerland,2013,29.3
Switzerland,2014,30.5
Switzerland,2015,30.8
Switzerland,2016,31.4
Switzerland,2017,31.2
Switzerland,2018,31.6
Cyprus,1995,NA
Cyprus,1996,NA
Cyprus,1997,NA
Cyprus,1998,NA
Cyprus,1999,3
Cyprus,2000,3.1
Cyprus,2001,3.4
Cyprus,2002,3.7
Cyprus,2003,7.9
Cyprus,2004,9.3
Cyprus,2005,5.9
Cyprus,2006,7.4
Cyprus,2007,8.7
Cyprus,2008,8.8
Cyprus,2009,8.3
Cyprus,2010,8.1
Cyprus,2011,7.8
Cyprus,2012,7.7
Cyprus,2013,7.2
Cyprus,2014,7.1
Cyprus,2015,7.5
Cyprus,2016,6.9
Cyprus,2017,6.9
Cyprus,2018,6.7
Czechia,1995,NA
Czechia,1996,NA
Czechia,1997,NA
Czechia,1998,NA
Czechia,1999,NA
Czechia,2000,NA
Czechia,2001,NA
Czechia,2002,5.6
Czechia,2003,5.1
Czechia,2004,5.8
Czechia,2005,5.6
Czechia,2006,5.8
Czechia,2007,6
Czechia,2008,8
Czechia,2009,7.1
Czechia,2010,7.8
Czechia,2011,11.6
Czechia,2012,11.1
Czechia,2013,10
Czechia,2014,9.6
Czechia,2015,8.5
Czechia,2016,8.8
Czechia,2017,9.8
Czechia,2018,8.5
Germany (until 1990 former territory of the FRG),1995,NA
Germany (until 1990 former territory of the FRG),1996,5.7
Germany (until 1990 former territory of the FRG),1997,5.4
Germany (until 1990 former territory of the FRG),1998,5.3
Germany (until 1990 former territory of the FRG),1999,5.5
Germany (until 1990 former territory of the FRG),2000,5.2
Germany (until 1990 former territory of the FRG),2001,5.2
Germany (until 1990 former territory of the FRG),2002,5.8
Germany (until 1990 former territory of the FRG),2003,6
Germany (until 1990 former territory of the FRG),2004,7.4
Germany (until 1990 former territory of the FRG),2005,7.7
Germany (until 1990 former territory of the FRG),2006,7.5
Germany (until 1990 former territory of the FRG),2007,7.8
Germany (until 1990 former territory of the FRG),2008,8.1
Germany (until 1990 former territory of the FRG),2009,8
Germany (until 1990 former territory of the FRG),2010,7.8
Germany (until 1990 former territory of the FRG),2011,7.9
Germany (until 1990 former territory of the FRG),2012,7.9
Germany (until 1990 former territory of the FRG),2013,7.9
Germany (until 1990 former territory of the FRG),2014,8
Germany (until 1990 former territory of the FRG),2015,8.1
Germany (until 1990 former territory of the FRG),2016,8.5
