country,year,female_members
Albania,1990,32.4
Albania,1995,7.1
Albania,2000,5.2
Albania,2001,5.2
Albania,2002,5.7
Albania,2003,NA
Albania,2004,5.7
Albania,2005,6.4
Albania,2006,7.1
Albania,2007,7.1
Albania,2008,7.1
Albania,2009,NA
Albania,2010,16.4
Albania,2011,16.4
Albania,2012,15.7
Albania,2013,NA
Albania,2014,20
Albania,2015,20.7
Albania,2016,22.9
Albania,2017,27.9
Albania,2018,27.9
Armenia,1990,NA
Armenia,1995,6.3
Armenia,2000,3.1
Armenia,2001,3.1
Armenia,2002,3.1
Armenia,2003,NA
Armenia,2004,4.6
Armenia,2005,5.3
Armenia,2006,5.3
Armenia,2007,9.2
Armenia,2008,9.2
Armenia,2009,8.4
Armenia,2010,9.2
Armenia,2011,9.2
Armenia,2012,10.7
Armenia,2013,10.7
Armenia,2014,10.7
Armenia,2015,10.7
Armenia,2016,10.7
Armenia,2017,18.1
Armenia,2018,18.1
Austria,1990,19.7
Austria,1995,21.9
Austria,2000,26.8
Austria,2001,26.8
Austria,2002,26.8
Austria,2003,33.9
Austria,2004,33.9
Austria,2005,33.9
Austria,2006,33.9
Austria,2007,32.2
Austria,2008,32.8
Austria,2009,27.9
Austria,2010,27.9
Austria,2011,27.9
Austria,2012,27.9
Austria,2013,27.9
Austria,2014,32.2
Austria,2015,30.6
Austria,2016,30.6
Austria,2017,34.4
Austria,2018,34.4
Azerbaijan,1990,NA
Azerbaijan,1995,12
Azerbaijan,2000,12
Azerbaijan,2001,10.5
Azerbaijan,2002,10.5
Azerbaijan,2003,10.5
Azerbaijan,2004,10.5
Azerbaijan,2005,10.5
Azerbaijan,2006,11.3
Azerbaijan,2007,11.3
Azerbaijan,2008,11.4
Azerbaijan,2009,11.4
Azerbaijan,2010,11.4
Azerbaijan,2011,16
Azerbaijan,2012,16
Azerbaijan,2013,16
Azerbaijan,2014,15.6
Azerbaijan,2015,15.6
Azerbaijan,2016,16.9
Azerbaijan,2017,16.8
Azerbaijan,2018,16.8
Belarus,1990,NA
Belarus,1995,NA
Belarus,2000,4.5
Belarus,2001,10.3
Belarus,2002,10.3
Belarus,2003,10.3
Belarus,2004,10.3
Belarus,2005,29.4
Belarus,2006,29.1
Belarus,2007,29.1
Belarus,2008,29.1
Belarus,2009,31.8
Belarus,2010,31.8
Belarus,2011,31.8
Belarus,2012,31.8
Belarus,2013,26.6
Belarus,2014,26.6
Belarus,2015,27.3
Belarus,2016,27.3
Belarus,2017,34.5
Belarus,2018,34.5
Belgium,1990,NA
Belgium,1995,12.7
Belgium,2000,23.3
Belgium,2001,23.3
Belgium,2002,23.3
Belgium,2003,35.3
Belgium,2004,35.3
Belgium,2005,34.7
Belgium,2006,34.7
Belgium,2007,34.7
Belgium,2008,35.3
Belgium,2009,35.3
Belgium,2010,39.3
Belgium,2011,39.3
Belgium,2012,38
Belgium,2013,38
Belgium,2014,39.3
Belgium,2015,39.3
Belgium,2016,39.3
Belgium,2017,38
Belgium,2018,38
Bosnia and Herzegovina,1990,NA
Bosnia and Herzegovina,1995,NA
Bosnia and Herzegovina,2000,28.6
Bosnia and Herzegovina,2001,7.1
Bosnia and Herzegovina,2002,7.1
Bosnia and Herzegovina,2003,16.7
Bosnia and Herzegovina,2004,16.7
Bosnia and Herzegovina,2005,16.7
Bosnia and Herzegovina,2006,16.7
Bosnia and Herzegovina,2007,14.3
Bosnia and Herzegovina,2008,11.9
Bosnia and Herzegovina,2009,11.9
Bosnia and Herzegovina,2010,19
Bosnia and Herzegovina,2011,16.7
Bosnia and Herzegovina,2012,21.4
Bosnia and Herzegovina,2013,21.4
Bosnia and Herzegovina,2014,21.4
Bosnia and Herzegovina,2015,21.4
Bosnia and Herzegovina,2016,21.4
Bosnia and Herzegovina,2017,21.4
Bosnia and Herzegovina,2018,21.4
Bulgaria,1990,NA
Bulgaria,1995,10.8
Bulgaria,2000,10.8
Bulgaria,2001,NA
Bulgaria,2002,26.2
Bulgaria,2003,26.2
Bulgaria,2004,26.2
Bulgaria,2005,20.8
Bulgaria,2006,22.1
Bulgaria,2007,22.1
Bulgaria,2008,21.7
Bulgaria,2009,21.7
Bulgaria,2010,20.8
Bulgaria,2011,20.8
Bulgaria,2012,20.8
Bulgaria,2013,24.6
Bulgaria,2014,24.6
Bulgaria,2015,20.4
Bulgaria,2016,20.4
Bulgaria,2017,23.8
Bulgaria,2018,23.8
Croatia,1990,4.5
Croatia,1995,7.1
Croatia,2000,21.9
Croatia,2001,21.9
Croatia,2002,20.5
Croatia,2003,20.5
Croatia,2004,17.8
Croatia,2005,21.7
Croatia,2006,21.7
Croatia,2007,21.7
Croatia,2008,20.9
Croatia,2009,20.9
Croatia,2010,23.5
Croatia,2011,23.5
Croatia,2012,23.8
Croatia,2013,23.8
Croatia,2014,23.8
Croatia,2015,25.8
Croatia,2016,15.2
Croatia,2017,18.5
Croatia,2018,18.5
Cyprus,1990,1.8
Cyprus,1995,5.4
Cyprus,2000,7.1
Cyprus,2001,10.7
Cyprus,2002,10.7
Cyprus,2003,10.7
Cyprus,2004,10.7
Cyprus,2005,16.1
Cyprus,2006,14.3
Cyprus,2007,14.3
Cyprus,2008,14.3
Cyprus,2009,14.3
Cyprus,2010,12.5
Cyprus,2011,10.7
Cyprus,2012,10.7
Cyprus,2013,10.7
Cyprus,2014,12.5
Cyprus,2015,12.5
Cyprus,2016,17.9
Cyprus,2017,17.9
Cyprus,2018,17.9
Czechia,1990,14.1
Czechia,1995,10.3
Czechia,2000,15
Czechia,2001,15
Czechia,2002,17
Czechia,2003,17
Czechia,2004,17
Czechia,2005,17
Czechia,2006,15.5
Czechia,2007,15.5
Czechia,2008,15.5
Czechia,2009,15.5
Czechia,2010,22
Czechia,2011,22
Czechia,2012,22
Czechia,2013,22
Czechia,2014,19.5
Czechia,2015,20
Czechia,2016,20
Czechia,2017,22
Czechia,2018,22
Denmark,1990,NA
Denmark,1995,33
Denmark,2000,37.4
Denmark,2001,37.4
Denmark,2002,38
Denmark,2003,38
Denmark,2004,38
Denmark,2005,36.9
Denmark,2006,36.9
Denmark,2007,36.9
Denmark,2008,38
Denmark,2009,38
Denmark,2010,38
Denmark,2011,38
Denmark,2012,39.1
Denmark,2013,39.1
Denmark,2014,39.1
Denmark,2015,37.4
Denmark,2016,37.4
Denmark,2017,37.4
Denmark,2018,37.4
Estonia,1990,11.9
Estonia,1995,11.9
Estonia,2000,17.8
Estonia,2001,17.8
Estonia,2002,17.8
Estonia,2003,18.8
Estonia,2004,18.8
Estonia,2005,18.8
Estonia,2006,18.8
Estonia,2007,21.8
Estonia,2008,20.8
Estonia,2009,20.8
Estonia,2010,22.8
Estonia,2011,19.8
Estonia,2012,19.8
Estonia,2013,20.8
Estonia,2014,19
Estonia,2015,23.8
Estonia,2016,23.8
Estonia,2017,26.7
Estonia,2018,26.7
Finland,1990,31.5
Finland,1995,33.5
Finland,2000,36.5
Finland,2001,36.5
Finland,2002,36.5
Finland,2003,37.5
Finland,2004,37.5
Finland,2005,37.5
Finland,2006,37.5
Finland,2007,42
Finland,2008,41.5
Finland,2009,41.5
Finland,2010,40
Finland,2011,42.5
Finland,2012,42.5
Finland,2013,42.5
Finland,2014,42.5
Finland,2015,41.5
Finland,2016,41.5
Finland,2017,42
Finland,2018,42
France,1990,5.6
France,1995,5.9
France,2000,10.9
France,2001,10.9
France,2002,12.3
France,2003,12.2
France,2004,12.2
France,2005,12.2
France,2006,12.2
France,2007,18.5
France,2008,18.2
France,2009,18.2
France,2010,18.9
France,2011,18.9
France,2012,26.9
France,2013,26.9
France,2014,26.2
France,2015,26.2
France,2016,26.2
France,2017,39
France,2018,39
Georgia,1990,6.4
Georgia,1995,6
Georgia,2000,7.2
Georgia,2001,7.2
Georgia,2002,7.2
Georgia,2003,7.2
Georgia,2004,9.4
Georgia,2005,9.4
Georgia,2006,9.4
Georgia,2007,9.4
Georgia,2008,6
Georgia,2009,5.1
Georgia,2010,6.5
Georgia,2011,6.5
Georgia,2012,6.6
Georgia,2013,12
Georgia,2014,12
Georgia,2015,11.3
Georgia,2016,11.3
Georgia,2017,16
Georgia,2018,16
Germany,1990,26.3
Germany,1995,30.8
Germany,2000,30.9
Germany,2001,30.9
Germany,2002,31.7
Germany,2003,32.2
Germany,2004,32.2
Germany,2005,32.8
Germany,2006,31.8
Germany,2007,31.6
Germany,2008,31.6
Germany,2009,32.2
Germany,2010,32.8
Germany,2011,32.8
Germany,2012,32.9
Germany,2013,32.9
Germany,2014,36.5
Germany,2015,36.5
Germany,2016,36.5
Germany,2017,30.7
Germany,2018,30.7
Greece,1990,NA
Greece,1995,6.3
Greece,2000,NA
Greece,2001,8.7
Greece,2002,8.7
Greece,2003,8.7
Greece,2004,14
Greece,2005,14
Greece,2006,13
Greece,2007,13
Greece,2008,14.7
Greece,2009,14.7
Greece,2010,17.3
Greece,2011,17.3
Greece,2012,21
Greece,2013,21
Greece,2014,21
Greece,2015,23
Greece,2016,19.7
Greece,2017,18.3
Greece,2018,18.3
Hungary,1990,7.3
Hungary,1995,11.1
Hungary,2000,8.3
Hungary,2001,8.3
Hungary,2002,9.1
Hungary,2003,9.8
Hungary,2004,9.8
Hungary,2005,9.1
Hungary,2006,10.4
Hungary,2007,10.4
Hungary,2008,11.1
Hungary,2009,11.1
Hungary,2010,9.1
Hungary,2011,9.1
Hungary,2012,8.8
Hungary,2013,8.8
Hungary,2014,10.1
